# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 19 15:48:34 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr < 5
# CONSTRAINT:  and pl_bmassestr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN tran_flag:      Detected by Transits
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,rv_flag,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-1246 d,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,18.65590000,0.00048000,-0.00048000,0,0.131000,0.004000,-0.004000,0,3.510,0.090,-0.090,0,0.313,0.008,-0.008,0,5.30000,1.70000,-1.70000,0,0.01668,0.00535,-0.00535,0,Mass,,,,,28.00,,,0,586,,,0,1,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,100.00,-100.00,0,0.86,0.05,-0.05,0,0.87,0.03,-0.03,0,0.170,0.060,-0.060,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,0.6730000,-0.6690000,11.6320000,0.0240000,-0.0240000,9.9070000,0.0360000,-0.0360000,11.7291000,0.0001590,-0.0001590,2022-05-03,2022-04,2022-05-03
TOI-776 c,TOI-776,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,15.66530000,0.00040000,-0.00030000,0,0.100000,0.002400,-0.002400,0,2.020,0.140,-0.140,0,0.180,0.012,-0.012,0,5.30000,1.80000,-1.80000,0,0.01668,0.00566,-0.00566,0,Mass,0.040000,0.020000,-0.010000,0,4.90,0.20,-0.20,0,415,14,-14,0,0,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,M1 V,3709.00,70.00,-70.00,0,0.54,0.02,-0.02,0,0.54,0.03,-0.03,0,-0.200,0.120,-0.120,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h54m18.72s,178.5779970,-37d33m12.08s,-37.5533568,27.1701000,0.0320500,-0.0320500,11.5360000,0.0410000,-0.0410000,7.6150000,0.0200000,-0.0200000,10.7409000,0.0004780,-0.0004780,2021-01-04,2021-01,2021-01-11
TOI-561 c,TOI-561,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=LACEDELLI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.3556L/abstract target=ref>Lacedelli et al. 2020</a>,10.77900000,0.00400000,-0.00400000,0,0.088090,0.000700,-0.000700,0,2.878,0.096,-0.096,0,0.257,0.009,-0.009,0,5.40000,0.98000,-0.98000,0,0.01699,0.00308,-0.00308,0,Mass,0.060000,0.067000,-0.042000,0,,,,,,,,,0,<a refstr=LACEDELLI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.3556L/abstract target=ref>Lacedelli et al. 2020</a>,G9 V,5455.00,65.00,-47.00,0,0.85,0.01,-0.01,0,0.79,0.02,-0.02,0,-0.330,0.100,-0.050,0,[Fe/H],4.47,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.2161030,85.7990000,0.4988000,-0.4932000,10.2520000,0.0060000,-0.0060000,8.3940000,0.0190000,-0.0190000,10.0128000,0.0002780,-0.0002780,2021-01-04,2020-12,2021-01-11
Kepler-1705 c,Kepler-1705,1,1,2,Transit,2021,Kepler,0,1,Published Confirmed,0,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..66L/abstract target=ref>Leleu et al. 2021</a>,11.28000000,0.00110000,-0.00090000,0,,,,,2.050,0.140,-0.150,0,0.183,0.012,-0.013,0,5.42000,0.61000,-0.57000,0,0.01705,0.00192,-0.00179,0,Mass,0.028000,0.064000,-0.018000,0,,,,,,,,,1,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..66L/abstract target=ref>Leleu et al. 2021</a>,,6312.00,215.00,-152.00,0,1.26,0.03,-0.05,0,1.14,0.09,-0.08,0,-0.200,0.150,-0.150,0,[Fe/H],4.30,0.04,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h06m18.85s,301.5785316,+44d18m43.79s,44.3121639,1633.4900000,90.8100000,-81.8700000,15.8000000,0.2060000,-0.2060000,13.7350000,0.0460000,-0.0460000,15.4974000,0.0004520,-0.0004520,2022-01-10,2021-11,2022-01-10
HD 80653 b,HD 80653,1,1,1,Transit,2020,K2,1,1,Published Confirmed,0,<a refstr=FRUSTAGLI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A.133F/abstract target=ref>Frustagli et al. 2020</a>,0.71957300,0.00002100,-0.00002100,0,0.016600,0.000300,-0.000300,0,1.613,0.071,-0.071,0,0.144,0.006,-0.006,0,5.60000,0.43000,-0.43000,0,0.01762,0.00135,-0.00135,0,Mass,,,,,,,,,,,,,0,<a refstr=FRUSTAGLI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A.133F/abstract target=ref>Frustagli et al. 2020</a>,G2,,,,,1.22,0.01,-0.01,0,1.18,0.04,-0.04,0,,,,,,4.34,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m21.38s,140.3390845,+14d22m04.33s,14.3678691,109.8600000,0.8110000,-0.8000000,9.4520000,0.0030000,-0.0030000,8.0180000,0.0210000,-0.0210000,9.3073300,0.0003460,-0.0003460,2020-01-23,2020-01,2020-01-30
HD 28109 d,HD 28109,1,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,84.25999000,0.00744000,-0.00662000,0,0.411000,0.016000,-0.016000,0,3.250,0.110,-0.110,0,0.290,0.010,-0.010,0,5.68100,2.73800,-2.11000,0,0.01787,0.00861,-0.00664,0,Mass,0.086400,,,1,,,,,506,9,-8,0,1,<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,F8/G0 V,6120.00,50.00,-50.00,0,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,0.000,0.100,-0.100,0,[Fe/H],4.13,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h20m57.19s,65.2383065,-68d06m09.68s,-68.1026875,139.6110000,0.4290000,-0.4270000,9.4200000,0.0300000,-0.0300000,8.1750000,0.0230000,-0.0230000,9.2997600,0.0003230,-0.0003230,2022-06-08,2022-05,2022-06-08
CoRoT-24 b,CoRoT-24,1,1,2,Transit,2014,CoRoT,1,1,Published Confirmed,0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,3.700,0.400,-0.400,0,0.330,0.040,-0.040,0,5.70000,,,1,0.01800,,,1,Mass,0.000000,,,0,,,,,1070,140,-140,0,0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,K1 V,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.300,0.150,-0.150,0,[Fe/H],4.55,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000,16.0430000,-15.2320000,15.3830000,0.1140000,-0.1140000,12.9240000,0.0240000,-0.0240000,15.1801000,0.0006310,-0.0006310,2018-06-06,2014-07,2018-05-31
K2-146 b,K2-146,1,1,2,Transit,2018,K2,0,1,Published Confirmed,0,<a refstr=HAMANN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..133H/abstract target=ref>Hamann et al. 2019</a>,2.64460000,0.00006000,-0.00006000,0,,,,,2.050,0.060,-0.060,0,0.183,0.005,-0.005,0,5.77000,0.18000,-0.18000,0,0.01816,0.00024,-0.00024,0,Mass,0.129000,0.019000,-0.019000,0,,,,,,,,,1,<a refstr=HAMANN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..133H/abstract target=ref>Hamann et al. 2019</a>,,3385.00,70.00,-70.00,0,0.33,0.01,-0.01,0,0.33,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m06.41s,130.0266951,+19d05m32.43s,19.0923416,79.3002000,0.4780000,-0.4723000,16.7000000,0.2000000,-0.2000000,11.3700000,0.0230000,-0.0230000,14.9834000,0.0005230,-0.0005230,2019-08-09,2019-09,2019-08-15
HD 191939 d,HD 191939,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,38.35250000,0.00030000,-0.00030000,0,0.207000,0.003000,-0.003000,0,3.040,0.070,-0.070,0,0.271,0.006,-0.006,0,5.80000,,,1,0.01825,,,1,Mass,0.000000,,,0,,,,,549,22,-22,0,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.00,100.00,-100.00,0,0.94,0.02,-0.02,0,0.81,0.04,-0.04,0,-0.150,0.060,-0.060,0,[Fe/H],4.30,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089000,0.0733000,-0.0731000,8.9700000,0.0300000,-0.0300000,7.1800000,0.0210000,-0.0210000,8.7747600,0.0002380,-0.0002380,2022-03-28,2022-02,2022-03-28
Kepler-177 b,Kepler-177,1,1,2,Transit,2013,Kepler,0,1,Published Confirmed,0,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,36.86010000,0.00150000,-0.00140000,0,,,,,3.500,0.190,-0.150,0,0.312,0.017,-0.013,0,5.84000,0.86000,-0.82000,0,0.01837,0.00271,-0.00258,0,Mass,0.000000,,,0,30.40,4.00,-4.00,0,,,,,1,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,5732.00,60.00,-60.00,0,1.32,0.05,-0.05,0,0.92,0.03,-0.02,0,-0.110,0.040,-0.040,0,[Fe/H],4.10,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m11.31s,286.0471442,+45d03m11.53s,45.0532038,1435.4400000,42.1000000,-39.8100000,15.1710000,0.1490000,-0.1490000,13.4210000,0.0400000,-0.0400000,14.9414000,0.0003190,-0.0003190,2021-05-28,2020-03,2021-05-28
Kepler-79 c,Kepler-79,1,1,4,Transit,2012,Kepler,0,1,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,27.40290000,0.00080000,-0.00060000,0,0.187000,0.002000,-0.003000,0,3.720,0.080,-0.080,0,0.332,0.007,-0.007,0,5.90000,1.90000,-2.30000,0,0.01900,0.00600,-0.00720,0,Mass,0.030000,0.027000,-0.021000,0,,,,,,,,,1,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,,6174.00,83.00,-117.00,0,1.30,0.03,-0.03,0,1.17,0.04,-0.04,0,-0.073,0.062,-0.009,0,[M/H],4.27,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h02m04.11s,300.5171067,+44d22m53.58s,44.3815508,1020.7200000,17.0750000,-17.0750000,14.0360000,0.1260000,-0.1260000,12.6060000,0.0310000,-0.0310000,13.8825000,0.0002180,-0.0002180,2016-03-09,2014-04,2016-03-10
TOI-1235 b,TOI-1235,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,1,Published Confirmed,0,<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>,3.44471700,0.00004000,-0.00004200,0,0.038260,0.000480,-0.000490,0,1.694,0.080,-0.077,0,0.151,0.007,-0.007,0,5.90000,0.62000,-0.61000,0,0.01856,0.00195,-0.00192,0,Mass,,,,,60.30,1.60,-1.50,0,775,13,-13,0,0,<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>,M0.5 V,3997.00,51.00,-51.00,0,0.62,0.02,-0.02,0,0.63,0.02,-0.02,0,0.330,0.160,-0.160,0,[Fe/H],4.64,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345000,0.0478000,-0.0478000,11.4950000,0.0560000,-0.0560000,7.8930000,0.0230000,-0.0230000,10.8492000,0.0005190,-0.0005190,2021-05-17,2020-07,2021-05-17
Kepler-305 c,Kepler-305,1,1,4,Transit,2013,Kepler,0,1,Published Confirmed,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,8.29100000,,,0,,,,,3.300,0.820,-0.330,0,0.294,0.073,-0.029,0,6.00000,2.40000,-2.20000,0,0.01900,0.00800,-0.00700,0,Mass,,,,,,,,,,,,,1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,0.80,0.20,-0.08,0,0.76,0.13,-0.06,0,,,,,,4.51,0.07,-0.26,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m53.82s,299.2242557,+40d20m35.40s,40.3431670,868.4770000,26.6400000,-25.1260000,15.8510000,0.2630000,-0.2630000,13.7020000,0.0420000,-0.0420000,15.7661000,0.0004870,-0.0004870,2014-05-14,2014-02,2014-05-14
Kepler-462 c,Kepler-462,1,1,2,Transit,2020,Kepler,0,1,Published Confirmed,0,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,207.62000000,0.03000000,-0.01000000,0,,,,,4.000,0.200,-0.200,0,0.357,0.018,-0.018,0,6.00000,10.80000,-4.90000,0,0.01888,0.03398,-0.01542,0,Mass,0.110000,0.050000,-0.020000,0,,,,,,,,,1,<a refstr=MASUDA__AMP__TAMAYO_2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..224M/abstract target=ref>Masuda &amp; Tamayo 2020</a>,,7500.00,300.00,-300.00,0,1.57,0.08,-0.06,0,1.59,0.08,-0.08,0,0.050,0.110,-0.110,0,[Fe/H],4.22,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h59m17.08s,299.8211502,+43d48m51.41s,43.8142793,596.6250000,10.8580000,-10.4840000,11.6320000,0.0160000,-0.0160000,10.8510000,0.0200000,-0.0200000,11.6145000,0.0003360,-0.0003360,2020-10-30,2020-11,2020-11-05
Kepler-454 b,Kepler-454,1,2,2,Transit,2015,Kepler,1,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,10.57000000,0.00000007,-0.00000007,0,,,,,2.354,0.224,-0.224,0,0.210,0.020,-0.020,0,6.05338,1.51018,-1.51018,0,0.01905,0.00475,-0.00475,0,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5701.00,34.00,-34.00,0,1.05,0.07,-0.07,0,0.85,0.22,-0.22,0,0.270,,,0,[Fe/H],4.37,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,1.3160000,-1.3010000,11.5670000,0.0210000,-0.0210000,9.9680000,0.0180000,-0.0180000,11.4395000,0.0002760,-0.0002760,2020-11-13,2017-03,2020-11-19
Kepler-350 c,Kepler-350,1,1,3,Transit,2013,Kepler,0,1,Published Confirmed,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,17.84900000,,,0,,,,,3.100,1.420,-0.600,0,0.277,0.127,-0.054,0,6.10000,3.30000,-3.20000,0,0.01900,0.01000,-0.01000,0,Mass,,,,,,,,,,,,,1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,1.25,0.57,-0.24,0,1.00,0.20,-0.12,0,,,,,,4.24,0.18,-0.25,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m40.70s,285.4195845,+39d42m21.96s,39.7061009,956.8590000,19.8105000,-19.8105000,13.9650000,0.1030000,-0.1030000,12.3930000,0.0250000,-0.0250000,13.7606000,0.0002210,-0.0002210,2014-05-14,2014-02,2014-05-14
